시각,파일명,원본포맷,결과,크기(KB),비고
11:46:30,WA-920 QP(내부심사 절차서).doc,.doc,성공,56.6,
11:46:31,WA-930 QP (경영검토 관리절차서).doc,.doc,성공,46.7,
11:46:35,WA-750 QPF (양식관리대장 점검).xls,.xls,성공,27.9,
11:46:35,WA-1020 QPF-01(시정 및 예방 조치 요구서).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,WA-1020 QPF-02(시정 및 예방조치관리대장).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,WA-1020-1 QIF-01(고객불만족접수대장).xls,.xls,건너뜀,,이미 변환됨
11:46:35,WA-1020-1 QIF-02(고객불만족조치내용).xls,.xls,성공,27.2,
11:46:35,WA-1020-1 QIF-01(고객불만족접수대장).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,WA-410 QIF-01(조직 내외부 이슈).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,WA-420 QPF-01이해관계자 니즈 및 기대).xls,.xls,성공,193.4,
11:46:35,WA-500 QIF-01(업무분장표).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,WA-610 QIF-01(리스크 관리대장).xlsx,.xls,건너뜀,,이미 변환됨
11:46:35,첨부 리스크 평가방법 및 처리기준.xlsx,.xls,건너뜀,,이미 변환됨
11:46:36,WA-620 QIF-01 프로세스 성과지표 현황.xls,.xls,성공,14.7,
11:46:36,첨부, WA-620 QI(품질목표 달성 계획서)-구매.xls,.xls,성공,15.7,
11:46:36,첨부, WA-620 QI(품질목표 달성 계획서)-영업.xls,.xls,성공,16.9,
11:46:36,WA-713 QIF-01(장비설비관리대장).xls,.xls,성공,15.2,
11:46:36,WA-713 QIF-02(장비설비검토서).xls,.xls,성공,16.7,
11:46:37,WA-713 QIF-03(설비이력카드).xls,.xls,성공,2470,
11:46:37,WA-713 QIF-05(장비설비SW수리의뢰서).xls,.xls,성공,189.9,
11:46:37,WA-713 QIF-06(장비설비점검기록서).xls,.xls,성공,20.6,
11:46:37,WA-713 QIF-04(제조,설비일일점검표).xlsx,.xls,건너뜀,,이미 변환됨
11:46:37,WA-715 QIF-02(측정장비 이력카드 REV_0).xls,.xls,성공,402.1,
11:46:37,WA-715 QIF-03(계측기 입출고LIST REV_0).xls,.xls,성공,402,
11:46:38,WA-715 QIF-04(측정장비손망실보고서 REV_0).xls,.xls,성공,400.7,
11:46:38,WA-715 QIF-01(계측기관리대장 REV_0 )_master.xlsx,.xls,건너뜀,,이미 변환됨
11:46:38,WA-716-QIF-01(지식관리대장).xlsx,.xls,건너뜀,,이미 변환됨
11:46:38,WA-720 QPF-01(팀별교육훈련 계획서).xls,.xls,성공,12,
11:46:38,WA-720 QPF-02(년간교육훈련 계획서).xls,.xls,성공,15.3,
11:46:38,WA-720 QPF-03(교육훈련 기록서).xls,.xls,성공,19.6,
11:46:38,WA-720 QPF-06(내부자격인증현황).xlsx,.xls,건너뜀,,이미 변환됨
11:46:38,WA-720 QPF-07 자격인증평가서.xlsx,.xls,건너뜀,,이미 변환됨
11:46:38,YM-720 QPF-03(교육훈련 기록서)-100 품질경영시스템.xls,.xls,성공,22,
11:46:38,YM-720 QPF-03(교육훈련 기록서)-1020 시정조치.xls,.xls,성공,22.3,
11:46:38,YM-720 QPF-03(교육훈련 기록서)-714 윤리적행동의 중요성.xls,.xls,성공,22.1,
11:46:38,YM-720 QPF-03(교육훈련 기록서)-740 의사소통(인식).xls,.xls,성공,22.1,
11:46:39,YM-720 QPF-03(교육훈련 기록서)-814 위조품방지.xls,.xls,성공,22.4,
11:46:39,YM-720 QPF-03(교육훈련 기록서)-815 비인가품.xls,.xls,성공,21.5,
11:46:39,YM-720 QPF-03(교육훈련 기록서)-854 FOD.xls,.xls,성공,20.2,
11:46:39,YM-720 QPF-03(교육훈련 기록서)-860 검사 자격.xls,.xls,성공,22.2,
11:46:39,YM-720 QPF-03(교육훈련 기록서)-920 내부심사.xls,.xls,성공,20.2,
11:46:39,WA-750 QPF-02(문서및양식관리대장).xls,.xls,성공,24.4,
11:46:39,WA-750 QPF-03(문서제개정신청서).xls,.xls,성공,78.8,
11:46:39,WA-750 QPF-04(회의록).xls,.xls,성공,23,
11:46:39,WA-750-1 QIF-01(데이터목록표).xls,.xls,성공,25.9,
11:46:40,WA-750-1 QIF-02(데이터배포대장).xls,.xls,성공,19.4,
11:46:40,WA-750-1 QIF-03(데이터 점검 CHECK LIST).xls,.xls,성공,17.7,
11:46:40,YM-753 QIF-01(문서 및 품질기록 목록).xlsx,.xls,건너뜀,,이미 변환됨
11:46:40,WA-810 QPF-01(WORK ORDER).xls,.xls,성공,24.2,
11:46:40,WA-810 QPF-02(공정변경요청서).xlsx,.xls,건너뜀,,이미 변환됨
11:46:40,WA-810 QPF-03(WORK ORDER CHANGE REVIEW).xlsx,.xls,건너뜀,,이미 변환됨
11:46:40,WA-810-01 QIF-01(WORK ORDER_REV_0).xls,.xls,성공,24.7,
11:46:40,WA-810-01 QIF-02(공정변경요청서_REV_1).xlsx,.xls,건너뜀,,이미 변환됨
11:46:40,WA-810-01 QIF-03(WORK ORDER CHANGE REVIEW_REV_0).xlsx,.xls,건너뜀,,이미 변환됨
11:46:40,WA-812 QIF-01(CHANGE REVIEW STATUS).xls,.xls,성공,10.9,
11:46:40,WA-812 QIF-02(CCR).xlsx,.xls,건너뜀,,이미 변환됨
11:46:40,YM-812 QIF-01(형상관리대장).xls,.xls,성공,13.5,
11:46:40,YM-812 QIF-02(CCR).xlsx,.xls,건너뜀,,이미 변환됨
