# format_apply.py  실행: 2026-04-18 14:27:11
# 레퍼런스: C:\Users\MISTOP\Documents\02_AI디지털전환\AS9100D문서관리\06_산출물_문서\Reference Doc\reference.docx
# 대상: C:\Users\MISTOP\Documents\02_AI디지털전환\AS9100D문서관리\AS9100 컨설팅 자료  (63건)
상태,스타일추가,교체건수,파일,오류
ok,31,2,"절차서-form -AS9100\WA-854-d QI, 시효성자재 관리지침서\WA-854-e QI, 시효성자재 관리 지침서.docx",""
ok,31,3,"절차서-form -AS9100\WA-855 QI(인도후 활동지침서)\WA-855 QI(납품후 활동).docx",""
ok,34,3,"절차서-form -AS9100\WA-856 QI (변경점 관리지침서)\WA-856 QI (변경점 관리지침서).docx",""
ok,30,2,"절차서-form -AS9100\WA-860 QI(검사업무 지침서)\WA-860 QI(검사 업무 지침서).docx",""
ok,43,2,"절차서-form -AS9100\WA-860 QI(검사업무 지침서)\WA-860 QI(검사업무 지침서)-영문화.docx",""
ok,43,2,"절차서-form -AS9100\WA-860 QI(검사업무 지침서)\WA-860 QI(검사업무 지침서).docx",""
ok,48,1,"절차서-form -AS9100\WA-860 QI(검사업무 지침서)\WA-860 QIF-02(수령검사 기록서).docx",""
ok,37,2,"절차서-form -AS9100\WA-870 QP(부적합품관리절차서)\WA-870 QP (부적합품관리 절차서).docx",""
ok,36,2,"절차서-form -AS9100\WA-912 QI(고객만족도 관리 지침서)\WA-912 QI(고객만족도 관리지침서).docx",""
ok,31,2,"절차서-form -AS9100\WA-913 QI(경영분석 관리지침서)\WA-913 QI(경영분석 관리지침서).docx",""
ok,33,3,"절차서-form -AS9100\WA-920 QP(내부심사절차서)\WA-920 QP(내부심사 절차서).docx",""
ok,30,2,"절차서-form -AS9100\WA-930 QP(경영검토 관리절차서)\WA-930 QP (경영검토 관리절차서).docx",""
ok,56,0,"절차서-form -AS9100\WA-851.3 QI (초도품 검사 지침서)\FORM\9102B-Form-1.docx",""
ok,55,0,"절차서-form -AS9100\WA-851.3 QI (초도품 검사 지침서)\FORM\9102C-Form-1.docx",""
ok,55,0,"절차서-form -AS9100\WA-851.3 QI (초도품 검사 지침서)\FORM\9102C-Form-2.docx",""
ok,55,0,"절차서-form -AS9100\WA-851.3 QI (초도품 검사 지침서)\FORM\9102C-Form-3.docx",""
ok,37,0,"절차서-form -AS9100\WA-851.3 QI (초도품 검사 지침서)\양식 기록 사례\첨부 2. 초도 기록 작성 샘플_803W2401-003 Rev 01.docx",""
ok,44,0,"절차서-form -AS9100\WA-851.3 QI (초도품 검사 지침서)\작성법\MBD IP작성요령.docx",""
